Review,polarity,True Label,Predicted Label
Manager and her staff were excellent. Easy check in. Great food service. Room clean and well furnished. Shuttle service well done. Pick up and drop off right on schedule. Good location just minutes north of airport.,positive,fake,real
"My husband and I recently stayed at The Courtyard Marriott and I wanted to share our experience:For our wedding day, my husband would be “tying the knot” in Okotoks on a big acreage, surrounded by friends and family. After the festivities of the big day, we would need a nice hotel to retreat to, and enjoy the rest of the night together.The hotel needed to be located close the wedding venue, but more importantly, it needed to be able to deliver a very special and remarkable experience for my husband and I. So I did some research online and made some phone calls.I called Courtyard Marriott and chatted with their reservation agent for quite some time. Of course mentioned our wedding and that the stay would in celebration of our first night as together as Mr. & Mrs.The agent was excited for us and seemed very nice. She assured me that we would have a very pleasant stay and that they would make every effort to make our marriage-night-stay a remarkable one.We weren't expecting them to roll out the red carpet, but it's nice when a hotel can go above and beyond and deliver that extra special experience for its guests.After a beautiful wedding surrounded by loved ones, and a night filled with singing and dancing, we were exhausted. We were also excited to get to the hotel and finally be alone together. My husband and I left the wedding celebrations just before the clock struck 12. We arrived at Courtyard Marriott still fully decked out in tuxedo and wedding gown. We were greeted by the customer service agent who asked for our ID and credit card. We quickly realized that in our haste to leave and with all the excitement of the day, the bag with the ID and credit cards in it had been forgotten in the room where I changed into my gown. The clerk told us she would not be able to check us into our room until we could present the credit card and ID. Clearly a bit of a problem.My husband and I had just drove 45 min from the wedding venue to the hotel. To drive back would take another two hours round-trip, so the last thing we wanted to do was head back to retrieve the cards.Rather than getting upset, we tried suggesting some easy solutions. Knowing I was a tired bride, my husband asked the clerk if I could just go up to the room and relax while he sorted everything out. He thought maybe he could have pictures of the ID and credit cards texted to us so she could verify the information, and then he would arrange to have the cards delivered shortly thereafter.This would allow us to continue enjoying our special day and still have everything sorted out before long. The clerk told him that nothing could be done without the cards.My husband had around $400 on him, so he asked if he could secure the room with a cash deposit. Plus the hotel already had all my CC information on file because I had provided it already when I initially booked the room. She never even addressed the cash deposit and told him she was unable use the card already on file without the actual CC there; not even temporarily.Although the clerk was never outright rude to us, she treated us like strangers who had just stumbled in off the streets. It's not as though we were intoxicated and being unreasonable, I enjoyed a glass or two of champagne and my husband doesn’t drink.It was becoming clear to us that either the clerk was unable or unwilling to extend any type hospitality towards us, nor offer any helpful suggestions. What could have been just a minor ""hiccup"" was quickly turning into a wedding disaster.Nearly in tears at this point, I started calling people still enjoying the wedding party while my husband continued to discuss possible solutions with the clerk.* He asked if he could pay cash for the deposit,*He asked if if I could go up to the room, get out of my gown and relax while they figure things out.*He asked if we could check in, make a few phone calls and have everything she needed, delivered within an hour. Still we were told nothing could be done until we provided her the credit cards and ID.After the 45 minutes of talking in circles with the lobby clerk, my husband again suggested he could pay cash and, for whatever reason, she finally agreed.Stunned by how complicated and unpleasant the check-in experience had been, we went up to the room. We opened the door to a new and clean hotel room. Nothing extra, again no effort by Marriott to show that they're in the hospitality industry to impress their guests and make their brand a clear choice when considering accommodations.When we woke up in the morning there was a note under the door asking us to join them for complimentary breakfast...no thanks. To say we we were disappointed would be a huge understatement, more like appalled.We still don’t know why it took over an hour for us to check-in that night.Perhaps the lady working was alone and had no management support to help her figure things out. One would think that any manager on-sight that night couldn't possibly be unaware of the situation unfolding at their check-in counter. It would be hard to miss a frantic groom and upset bride, still in their wedding clothes, trying to check-in at 1am. We were at the check-in desk for nearly an hour.Maybe she was overwhelmed by the situation and unsure if she was allowed to authorize that sort of an exception. Surely she could have reached out for support from her team and explained the situation to an experienced leader at another location, who could then authorized her to check us in.We realize that the oversight was completely our fault, but ultimately an easy fix. I'm not sure the extent of training Marriott employees receive, or how they select their employees, but clearly their management needs to make some big improvements to what practices are currently in place.A little advice to The Marriott management team: Having staff that are well trained, able to offer solutions when ""life happens,"" and then have the empowerment to implement said solutions should be the standard of a world class hotel chain. It is not impossible to keep the interests of your guests aligned with those of your business. In fact, this should be at the heart and soul of any business in the hospitality industry. After our stay at your hotel, we immediately left for our European honeymoon. I wish we could share the countless unforgettable memories we experienced from employees in the hospitality industry during our travels.Upon hearing it was our honeymoon, British Airway Stewards upgraded us to 1st class and treated us like Royalty; they even gave us a bottle of champagne to say “congrats” while we were disembarking the aircraft.During a romantic dinner in Portugal, the chef personally came to out from the kitchen to congratulate us and present us with special appetizer, “complements of the chef.”Nearly everywhere we went, when we mentioned it was our honeymoon, employees of businesses that really cared, went above and beyond to make us feel special.The difference between the way they conduct their business to that of Courtyard Marriott was in pride shown in their work, and their commitment to making their customers feel welcome and special.These are the kinds of places we never forget and that we love bringing our friends and family to, so they can experience it for themselves.I’m sad to say our wedding night stay at Courtyard Marriott will never be forgotten, but unfortunately unforgettable for all the wrong reasons.",negative,real,fake
Not family friendly at all. Made my little girl cry just to rent a dvd for free...they might as well not offer this service. Bed sheet was missing. Noisy from air traffic...not a good place if you need peace,negative,fake,real
"Once again, exceptional stay. Room clean, kitchen clean. Friendly front desk staff. Super variety at breakfast. Clean and well attended. Answered phone promptly. Did not disappoint with wake up call. Thank you",positive,fake,real
"Our 'getaway' hotel in our own city. Since its opening, my wife and I have stayed at Le Germain whenever we want to escape without escaping the city. The decor, amenities, location to amazing dining, and the hotel staff themselves will always bring us back!",positive,real,fake
"Our room looked to be heavily water damaged at some point. The bed was broken. There was only one sleeping position in a vally accross the bed and it squeaked everytime you breathed. It's was funny at first and we had a good laugh, then it got annoying really fast. We would have changed hotels but we took this one as everything else was full. This hotel is a Monet, it looks good from afar but up close it's a mess.",negative,real,fake
Poor service at front desk .Room service is bad too,negative,fake,real
Requested early check-in for 2:30 and didn't get keys until almost 4:00 so we missed appointment.  Rooms were clean but required making beds.  Breakfast was very good.  Rates quoted and emailed were not honored.,negative,fake,real
"So many rooms in this iconic hotel, one of the largest in the province. It's proximity to the Calgary international airport also makes it a prime destination for many travelers. The front desk staff are nice and quite thoughtful too. I was allowed to check in earlier than usual, because they knew I came from out of town",positive,fake,real
The fact that hotel clique not only gave my reservation away to someone else. They still charged me for the room.. staff at the front desk are rude and unhelpful.,negative,fake,real
"The room was itself was nice, the shower had mold on the ceiling, water damage in the bathroom, room was not cleaned, as we found a hair clip and change on the floor. There was a giant hand print on the mirror around the jet tub.Called front desk 3 times before they answered for an extra cup and shampoo, 20 minutes later the cleaning lady arrived with one cup and no shampoo. I told the cleaning lady and she said she would be right back, another 20 mins later, she came back with no face mask on, and was talking on her cell.The vending machine ate my money, advised front desk staff. They advised me that the vending machines had nothing to do with the hotel, so I was out the money.",negative,fake,real
"The staff were abrupt and unaccomodating. We visited with four children and were told on arrival the pool was closed for maintenance the following morning we saw other guests running out of the pool area in swimsuits. The room was cleanish with the kitchen sink being the exception, dated in design and a little shabby. I will stay at the Radisson down the road in future. ",negative,fake,real
The walls and the doors are super thin. If you are looking to sleep at night better go somewhere else. Not only is everyone around you going to keep you up but also the people across the hall two doors down. You hear everyone in the entire hotel. They were not yelling or anything just having normal conversations.,negative,fake,real
"The worst hotel I have stayed at, staff extremely snobby and rude. Went down for breakfast, there was hair in my cereal and when I complained they just brushed it off as if I should be guilty of bringing it in the first place. The room was extremely noisy with air con noise, when I told the reception upon checking out, another shrug. Never staying again! If you want to get demeaned and given judgemental glances stay here.",negative,fake,real
This place was disgusting. The elevator had a pungent smell.,negative,fake,real
"Very clean room, hotel is close to downtown restaurants",positive,fake,real
"Waters in bathroom contains black dust a lot. My two daughters got some rash on their face. Before you stay, please check room condition and water quality. It was the worst experience un my life.",negative,fake,real
"We booked the room through a third-party site, and typically I like to go direct to the accommodation that we will be staying at. However, in this case it worked out amazingly well. Check-in was a breeze with the late-night reception person, Ash. He was super friendly and accommodating. The room and amenities provided by this hotel are far beyond our expectations providing us a value that we just did not expect. For the price that we paid through this third-party site, we could not have imagined a better offer. Everything about the hotel has been perfect, even for our short overnight stay. We will be back soon.",positive,real,fake
"We had our second anniversary at the Hyatt. Anniversary was great, the hotel was terrible.- There was blood on the blanket when we arrived - I had purchased a food discount. The server at Thomson’s had us wait after settling our bill to ensure the discount was applied. After receiving the invoice a day later, the discount was not applied. - Parking is an extra $32. I did not see this disclaimer anywhere when purchasing the room. - The main reason we chose the Hyatt was so we could relax in the pool and hot tub. Both were filled with kids from 4:00pm until 10. We waited for hours to use the facilities, however they were filled to max capacity all night. That was our first and last time using the Hyatt. I highly recommend not staying there if you’re looking for a date night.",negative,real,fake
We stayed at the Fairmont Palliser for an anniversary getaway and were blown away!  We've stayed here before but this time was over the top.  We had a penthouse suite which was huge and beautiful.  We were pleasantly surprised when we came back to our room to find a bottle of champagne and chocolate covered strawberries and a card wishing us a happy anniversary.  The breakfast was amazing as well as the hot and cold appetizers they provided.  The whole experience was luxurious and wonderful.. We will go back next year for sure!!,positive,real,fake
While the people and the amenities in the hotel were fine clean and nice the entire area around the hotel was very unpleasant. Many places were closed or neglected the streets smell like urine and the majority of the people that walked around were either junkies or homeless people.This made coming in and going out from the hotel very disturbing and unpleasant I would not recommend it for families or women only travelers.,negative,real,fake
"Wifi was terrible, wouldn’t stay connected for more than 10 mins at a time",negative,fake,real
Worst place to go with family for vacation and also with the kids....Not fairmont but only Fairmont Pallisar is the worst place with worst staff.....they lie about their upgrades when they never do that,negative,fake,real
"You can’t beat this hotel. The service, the cleanliness, the price, the food.. you won’t find better! The rooms are spacious, beds are comfortable, the shower in the bathrooms are amazing. We love enjoying the rooftop hot tubs, they provide you with white robes to lounge in, and an amazing sit down breakfast is included with the price of you stay at the applause. We won’t stay anywhere else!!",positive,fake,real
You have to pay to park at this hotel. The amenities in the room are the bare minimum and the beds were uncomfortable.,negative,fake,real
"You name it they have it! I'd like to especially praise the receptionist Cazandra, who made our stay at the hotel, extra memorable!Was going to start with how clean and modern our room was, and how the whole building was full of beautiful, harmonious, eye-catching details and artworks—also how I liked the location of the hotel as someone who wants to make the most of their time—but then Cazandra even made our stay more special!As soon as she realized it was my birthday, she ordered complimentary drinks for my family and sent sweet treats to my room along with a list of places we should visit in the city!But that's not all!My wife told her that we've been trying to rent a car in the last few days but could not find any... a few hours later she finds us a rental car at a great price!!!All the staff were very kind and welcoming and Cazandra went above and beyond to make our stay even more joyful!",positive,real,fake
a wonderful full service hotel in the heart of downtown Calgary...walking distance to great shopping and great restaurants...try the gold level at the Palliser the experience is second to none...we always stay here when in Calgray              ,positive,fake,real
service,negative,fake,real
